corpusid,section,subsection,section_pos_in_pct,text,Yes,No,Maybe,Keyword
102925738,2/42,1,0.048,"The results elemental analysis (C ¼ 72. 25 Fig. 1. The presence of FTIR peak at 1126.43 cm À1 in Fig. 1 was due to the characteristic C]S double bond peak (n C]S , 1050-1200 cm À1 ) 41 of the reagent indicating the formation of PTQA. Both FTIR spectral and elemental analysis **data** indicated the formation of the reagent PTQA. The formation of the reagent also tested by 1 HNMR spectrum is shown in Fig. 2. The steadiness of the thermogravimetric curve obtained for about 1 g of the reagent at 80-90 C indicated that the reagent did not contain any moisture.",0,1,0,
250337389,10/11,1,0.909,Supplementary **data** are available at Journal of Tropical Pediatrics online.,1,0,0,data are available at 
218971725,7/10,2,0.7,"The **data** were divided into 8 strata based on institutional histology, relapse and study with strata sizes (1257,1769,107,113,223,284,84,78). In the simulation study, 720 individuals were sampled at phase 2. Based on above outcome model and the whole cohort data, the optimal phase-2 sample sizes for each stratum were n opt = (156,241,38,39,75,111,36,24).",0,1,0,
55240402,37/47,1,0.787,"For all experiments, the moths were reared in the laboratory on an artificial diet (Greene et al. 1976) until reaching the adult stage. After the start of oviposition in the laboratory (age 3 d), the moths were released into the cages at the beginning of the scotophase at a density of 100 pairs (100 males and 100 females) per cage and maintained for 3 d for egg-deposition on the plants. All detected egg masses were removed 72 h after the release of the moths and taken to the laboratory, where the number of eggs and egg position on the plant (bottom, middle, and upper sector of the canopy) were evaluated. Canopy sectors were identified by measuring plants of each species and equally dividing them into 3 parts. Therefore, the size of each part is different for each host species. Even though some of the host species might be small at the time of oviposition, canopy division **data** is able to provide further insight into this biological parameter. Understanding the oviposition preference for each part of the plant canopy is important for growers to help them find eggs in the field. This is crucial to forecast pest outbreaks as well as to devise necessary biological control strategies such as the release of egg parasitoids.",0,1,0,
54551628,14/17,1,0.824,"To shed light on ABA signaling dynamics, Li et al. synthesized published experimental data, mostly from Arabidopsis thaliana studies, about the components and processes of ABA signaling into a theoretical network. Experimental evidence described either direct interactions between components (from biochemical **data** on enzymatic activity or protein-protein interactions) or inferences about pathway activity (from genetic mutations or pharmacological interventions). These annotated components formed nodes (and intermediate nodes, representing unknown mediators) in the network, and the annotated processes provided the basis for writing algorithms describing possible interactions between the components and constructing the paths of the network.",0,1,0,
240554273,14/22,1,0.636,"This paper dealt with some **data** from the Egyptian Stock Exchange, and these **data** represent the monthly **data** from the Egyptian Stock Exchange, during the period starting from February 2015 to February 2019, and it represents the relationship between the impact of the transactions of the finance, tourism, food and health sectors on the Egyptian Stock Exchange indices, where we find that this The **data** contains one dependent variable, which is the Egyptian stock market indices, and four independent variables, which are food, health, tourism, and finance sectors. In Table 4, in this table, the arithmetic mean of the **data** was calculated, as well as the variance, standard deviation, kurtosis and skewness for these data. We note on these **data** that the skew value is close to zero and thus the **data** are similar around the origin and contain the kurtosis coefficient negative. And because we will present to the following table, which contains an estimate of the parameters for each of the following distributions, and they are, in order, the Kamraswamy Lindley distribution, the generalized Lindley distribution, and finally the Lindley distribution. Also, the table contains some properties of the parameters, which are (BIC) Bayesian information criterion ,(AIC) Akaike information criterion ,(HQ)Hannan -Quiun information criterion which are, and the principle on which we depend in judging the preference of any distribution is the distribution that has a value less than the previous criteria will be the best.",0,1,0,
251843619,17/73,3,0.233,"Actionability-'Have the processes to make changes' ⇒ More than 75% of organisations agreed for these PC-QIs: ⇒ 'Structures to report PCC performance'; 'Communication between patient and nurse'; 'Coordination of care'; 'Patient and caregiver involvement in decisions about care'; and 'Overall experience'. ⇒ Most organisations also report having the **data** or could obtain the **data** for these indicators, indicating they may be the most feasible to implement. ⇒ Provincial/territorial organisations were most likely to have processes to make changes relative to other types of organisations for 'structure' PC-QIs.",0,1,0,
201197877,4/18,2,0.222,"To characterize the driving factors that separated these groups, including grazing, we used non-metric multidimensional scaling ordinations with Sorenson distance measure. We did not transform the data. We used a random starting configuration with 250 runs of real data. Ordinations were overlaid with elevation, climatic variables: 30-year average precipitation, maximum temperature and minimum temperature, maximum number of frost-free days, minimum number of frost-free days and disturbance variables related to grazing intensity: distance from water, and ratios of active and suspended animal unit months (AUMs) over permitted AUMs. Climate **data** were taken from PRISM (2010).",0,0,1,data were taken from 
219480444,2/14,2,0.143,"On the other hand, Prifti et al. (2018) found that cash transfer gave incentives to Zambians workers to switch the job preference from working at others' farms to working at their own farms. Angeles et al. (2019) found that unconditional cash transfer (UCT) provision would lead to the recovery of the mental health of young people in Malawi. The fundamental mechanisms were improvement in education, the advisors' condition, and social supports. UCT would break the cycle of poverty and depraved mental health. Giang and Nguyen (2017) tried to examine the relationship between cash transfer and education and health using panel **data** in the Vietnamese Household Living Standard Survey in 2010 and 2012. They found that cash transfer could improve the school participation and had a good impact on poverty. In contrast, cash transfer did not have an effect on either the number of inpatients or the number of outpatients. Handa et al. (2018) found that cash transfer programs of Zambians showed strong productive and protective effects. They argued that this program could improve the long-term living standard and had important roles in improving growth. Sabates et al. (2019) found that cash transfer encouraged investment in education. Unfortunately, since school participation in Rwanda had reached 80%, this program could result in more school participation.",0,1,0,
159187248,51/67,1,0.761,"3.2.7. Solid waste dumping in the drainage system. There is no field level or survey **data** for Bharatpur regarding reduced depth of drainage due to the dumping of solid waste in the existing canals. Considering the rapid population growth in Bharatpur, it is assumed that the decrease in depth due to the dumping of waste in the canals would be 10 cm in the Pungi and Kerunga system per year (in Sylhet it is between 10 and 20 cm per year and we assumed the lowest effect of 10 cm in the absence of historical records **data** for Bharatpur). Solid waste dumping without any cleaning or dredging operations in the expanded canals and new drains (Sc-2) after five years was simulated under scenario Sc-7. It is estimated that the simulated inundated area is 99 ha. Therefore, the additional area that would get waterlogged is approximately 27 ha more than in scenario Sc-2. A proper solid waste management system was considered under scenarios Sc-2 to Sc-6. The important infrastructural changes in Bharatpur for drainage improvement include: (i) the rehabilitation/ expansion/re-sectioning of the existing drainage system in the Pungi canal; (ii) the construction of new drains in the areas where new development is occurring; and (iii) soft measures for improving solid waste management. The extent of flooding and the cost of investment for each adaptation scenario are given in Table 6.",0,1,0,
246950193,21/35,1,0.6,The **data** presented in this study are available on request from the corresponding author.,1,0,0,The data presented in this study are available on request
245773094,14/23,1,0.609,"As pointed out above, **data** for eight children could not be included in the final analyses. Due to technical issues for 2 children (one in each group) during the testing of ESCS at T2 no material was available for analysis. Further, 6 children (2 in the Novel group and 4 in the TAU group) declined to participate in the testing of ESCS at T3. As the attrition rate in our study was 26 %, we examined possible effects due to attrition closer. No differences in eye gaze and gesture behaviors were found when comparing T1 and T2 scores between children that could be included in the final analysis (n = 22) and children that could not (n = 8), all p's > 0.60. However, the chronological age of the attrition group (M = 43.9 months, SD = 3.2) was significantly higher than the chronological age of the included children (M = 39.8 months, SD = 6.7), t (25.34) = 2.22, p = 0.035, equal variances not assumed. Overall, the two final intervention groups were not statistical different from each other at T1 on chronological age (see Table 1), language measures (see Table 1), or IJA measures (independent t-test for eye gaze: p = 0.92, gestures: p = 0.46, see also repeated-measure analyses above).",0,1,0,
149639803,12/19,1,0.632,"A sensitivity analysis revealed that the smallest detectable effect size with 90% power and a ¼ 0.05 was r ¼ 0.09 (using G*Power; [55]). Samples 2, 3 and 4 had smaller sample sizes with a minimum N of 207, 202 and 213, respectively, across all comparisons; these sample sizes enabled detection of r 0.22 with 90% power. To account for missing **data** across questionnaires, all correlations use individual mean scores rather than the total scores. Cases were removed from analyses where no **data** were available. All results are reported with unadjusted significance values; corrections for multiple comparisons were calculated for all within-test, within-sample analyses and are only reported where these corrections changed the interpretation of an analysis from statistically significant to not statistically significant. Differences between significant correlations were also analysed using Fisher's Z-tests and Steiger's Z-tests using online resources (http://vassarstats.net/rdiff.html; http://www.psychmike. com/dependent_correlations.php). All other analyses were carried out using SPSS. All study **data** and analysis scripts are available online (https://osf.io/gsfrj/).",1,0,0,All study data and analysis scripts are available online
67280593,38/39,1,0.974,"Figure 1 .
 1Ethical Thinking Survey -Pre-course v. Post-course, Likert Scale Question Results(1 = Strongly Disagree, 5 = Strongly Agree), Error Bars show ±1 Standard Error.*indicates statistically significant difference between pre and post-course **data** post-test, and stronger feelings that what was learned in the course would not be used in the future. Levene's test confirmed homogeneity of variances for the data. A paired samples t-test was performed to assess the significance of the changes between pre and post-course data. The **data** for the 2-tailed t-test indicated that difference between the pre and post values (M = 0.55, SD = 1.15)",0,1,0,
253536255,23/31,1,0.742,"Figure 1 .
 1M. bovis infection reduced the viability of EBL cells. Cell viability after M. bovis infection at different multiplicity of infection (MOI) of 10, 20, 30, 50, 60 and 80 and different time of 24 h, 48h and 72 h, respectively, were detected using MTT assay. It was determined by calculation that the half-maximal inhibitory concentration (IC50) at 24 h, 48 h and 72 h was 60, 60 and 50 MOI, respectively. The **data** are expressed as mean ± SEM. Experiments were repeated at least three times. *** p < 0.001 indicated statistical significance.",0,1,0,
251913584,18/31,1,0.581,"Furthermore, in terms of dominant adopter category, Figure 2 shows that the late majority is the most prevalent category (36.6%) in the study region. This suggests that a number of smallholder farmers in Ghana, especially in the Ketu North District, are more sceptical about new technologies and may want to see pictures or videos of people using them before making adoption decisions or probably wait for about half of the population adopting them before they also decide to use them. Also, by comparison, the percentages obtained for each adopter category in the present study vary from the percentages of Roger adopter categories (see Figure 1). In the present study, we observed a trend of downwards reduction in innovativeness to an upwards increase in less innovativeness. For instance, innovators are 1.4% in the current study as against 2.5% in Rogers and Laggards are 17.9% presently as against 16% in Rogers. Therefore, the obtained result suggests that a result from a macro level study (used by Rogers) may not show the same result at the micro-level (present study). i.e., Rogers' work was developed for the market (macro-scale), whereas the current study was developed for a category of farmers (micro-scale). Table 5 presents the logistic regression analysis results that test the four hypotheses on the effect of the predictor variables on the response variable. The main variables adapted in the model to predict the innovativeness of the respondents were educational level, age, gender, and income. The likelihood of the model to predict the outcome correctly was 89.7%, which indicates that the **data** fit the model.",0,1,0,
18075776,12/15,2,0.8,"While it is clear that Ghanaian women of today (and yesterday) are expected to work and generate income, the **data** reviewed so far does not adequately speak to the state of Ghanaian women in terms of autonomy outside the financial sphere especially given the proverbs about dependence on men. In order to explore this issue further, we examine **data** on decision-making abilities.",0,1,0,
89870557,3/6,2,0.5,"Mealybugs and red spider mites were found in all cassava locations observed in Lampung, including in the experimental plot of Faculty of Agriculture, University of Lampung in Natar area (Figure 1, and Table 1). The **data** indicated that mealybugs and red mites spread in almost all locations in Lampung. Even though mealybugs and mites were unable to move for long distance, the pest was able to disperse by wind and plant material transportation from island to island. Yaninek et al. (1989) reported that green mite was able to spread 600 km per year in Ivory Coast. The papaya mealybug (P. marginatus) was firstly reported in Bogor-West Java in 2008, then it was found in Lampung in 2009 infesting many plants species including cassava (Susilo et al., 2009).",0,1,0,
9368724,5/24,2,0.208,"We reconstructed the phylogeny for the Lepidium PI **data** set using Bayesian and likelihood analyses. For taxa that had multiple clonal PI sequences, we chose one clonal sequence from each monophyletic group of sequences representing a given taxon that was recovered in a 50% majority rule consensus tree from preliminary Bayesian analyses of all clones and that was representative of the majority of clones from a group. All other clonal sequences not forming monophyletic groups with other clones from the same taxon were included in the final analyses (Appendix 1).",0,1,0,
246337567,8/70,2,0.114,3 http:// id. loc. gov accessed 11th July 2020. 4 http:// libris. kb. se **data** accessed 30th July 2020. 5 https:// pro. europ eana. eu/ page/ linked-open-data accessed 30th July 2020. 6 http:// bnb. data. bl. uk accessed 18th July 2020. 7 https:// data. swiss bib. ch/ accessed 30th July 2020. 8 https:// data. bnf. fr/ en/ about accessed 9th May 2021. 9 http:// datos. bne. es/ inicio. html accessed 30th July 2020. 10 https:// www. dnb. de/ DE/ Home/ home_ node. html accessed 30th July 2020. 11 https:// wiki. dbped ia. org/ accessed 9th August 2020. 12 https:// www. wikid ata. org/ wiki/ Wikid ata: Main_ Page accessed 16th July 2020. 13 Also known as entity resolution. 14 https:// openr efine. org/ accessed 16th July 2020.,0,0,1,data accessed 
245773094,4/23,1,0.174,"At T1, before randomization and before treatment commenced the children's language levels were evaluated through two subscales from the Psychoeducational Profile, third edition [PEP-R; (42)] and from an interview with the preschool teachers using two subscales from the Vineland Adaptive Behavior Scales, second edition [VABS-II; (43)]. For the sake of clarity these instruments were also used at T2 representing **data** that has been published elsewhere (37). Mental age was estimated with the Swedish version of the Bayley Scales of Infant and Toddler Development, third edition (44).",0,1,0,
49472010,2/7,1,0.286,"O.R. Tambo district was selected for the study mainly due to the recurring drought events and was reported as one of the most affected district in the Eastern Cape province of South Africa. Moreover, communal farming is the major agricultural practice in the district. The study used a survey **data** of 87 respondents from August to September 2014 and social vulnerability index (SoVI). Two separate interviews were held to collect **data** from farmers and extension officers during group discussions. The number of sample size of the study was influenced by the number of communal farmers who attended the workshops as well as their literacy levels.",0,1,0,
47224394,8/11,1,0.727,"t Ct/min with P3NS1 spent medium. § Supernatant 791T/36 Clone 3 was diluted 1:10 and absorbed with 108 cells/ml at room temperature for 2 h. These conditions were based upon those used successfully with a monoclonal antibody to a rat breast carcinoma, which has a titre against relevant target cells of 1/1000 (Gunn et al., 1980); this was also the titre empirically determined for 791T/ 36 Clone 3. Table III shows **data** from experiments in which the monoclonal antibody was (a) absorbed by 791T cells and tested against other cross-reactive target cells, (b) absorbed with other tumour cells and tested against 791T, or (c) absorbed with, and tested against cells other than 791T. Where the cross-tested absorbing cells or target cells were reactive with the antibody (Table II) reductions of bound ct/min of between 70% and 90% were obtained after absorption. When the antibody was absorbed with non-crossreactive cells (Mel 2a, Mel 57, PA-1) however, the reduction of activity against 791T cells was only 11-24%. These results support the specificity of the antibody demonstrable in direct tests.",1,0,0,Table III shows data from
232089418,2/15,1,0.133,"Microarray analysis. RNA expression profiling was performed using the Agilent human lncRNA microarray V.2.0 platform (GPL18109; Agilent Technologies, Inc.). Quantile normalization and subsequent **data** processing were performed using Agilent Gene Spring Software 11.5 (Agilent Technologies, Inc.). Heatmaps representing differentially regulated genes were generated using Cluster software (version 3.0, http://www. clustersoft.com/). The microarray analysis was performed by Beijing Genomics Institute/HuaDa-Shenzhen. The lncRNAs were differentially expressed on the basis of the criteria of log2FC>1 or log2FC<-1, and P<0.05. The heatmap between the glioma tumor tissues and controls (3 vs. 3) was drawn based on the same criteria.",0,1,0,
2111254,1/20,1,0.05,"In spite of the close relationship between phosphorylation and transcriptional regulation, the two networks are generally investigated separately. Many experimental and computational approaches endeavor to disclose the pair-wise interactions of both networks [1] [2] [6] [7] [8] [9] [10]. However, integrative studies of the two networks are very limited. A recent study generated a first-generation phosphorylation map for S.cerevisiae, and integrated the phosphorylation results with transcription factor binding **data** [1]. The results demonstrated that the largest class of kinase substrate is transcription factors, and revealed several new regulatory modules. Another study demonstrated in the cell cycle process, cyclin-dependent protein kinase (CDK) and transcription factors commonly form feed forward loops to activate different phases of the cell cycle [11]. In these studies, kinase/phosphatase and transcription factor are connected via biochemical interactions. Although such approaches have shed light on the prevalent regulatory motifs in the signaling network, the functional link between these regulators cannot be inferred. In this study, we propose to link kinase/phosphatase and transcription factor by using the transcriptome as an anchor.",0,1,0,
18075776,2/15,2,0.133,"Information about the status of women in contemporary Ghana can be gleaned from a plethora of sources, using a variety of methodological approaches. Our decision to use survey **data** was shaped by the demonstrated advantages of this research method including efficiency, generalizability, and versatility (Fowler, 2014). While several waves of the Ghana national census **data** are available, the items covered therein do not allow for an in-depth examination of the day-to-day experiences in the lives of Ghanaian women, especially in the area of empowerment. This is largely because demographic **data** typically tends to focus simply on the outcomes of processes that may have relevance for the empowerment of women, rather than on the empowerment dynamic of such processes or interpersonal interactions. For instance, while national surveys do provide information about number of children living in a household, they do not examine related sexuality issues such as the extent to which sex is viewed as a source of pleasure vs. simply as a procreational process (Pereira, 2003). Feminist scholars such as McFadden (2003) have (i) argued that sexuality needs to be conceptually distinguished from reproduction, (ii) demonstrated the relationship between power and sexual pleasure, and (iii) implied that the importance ascribed to female sexual pleasure, even in the context of legallysanctioned long-term, heterosexual, committed relationships, is an index of feminist choice. Furthermore, the national census does not explore the adherence with traditional values such as those captured by proverbs. As such, detailed information about the state of affairs in the lives of contemporary Ghanaian women is best gleaned from surveys designed to explore decision-making and empowerment, such as the Ghana Everyday Lives Survey.",0,1,0,
4456587,12/21,1,0.571,"10-12 week old male FXR KO mice and their WT littermates, described elsewhere 49 and bred from founders acquired from the Jackson Labs (Bar Harbour, ME), were singly housed in an AAALAC-approved facility with a 12-12 light-dark cycle, and allowed ad libitum access to HFD (D12492, Research Diets, New Brunswick, NJ) and water unless otherwise noted. After 10 weeks of HF-feeding, male mice were randomly divided into body weight and fat-matched groups within genotype, and we performed VSG or sham surgery as above. Based on our power analyses, completed using previous **data** to determine the expected variance and effect sizes, and based on our historical **data** regarding post-operative mortality, we performed sham surgery on 13 WT and 9 KO mice and VSG surgery on 14 WT and 15 KO mice. 5 KO-VSG and 4 WT-VSG mice died from complications of surgery and were not included in any of the analyses. Food intake and body weight was monitored weekly. Body composition was measured 1 week prior to and 11 weeks following surgery by magnetic resonance imaging (Echo Medical Systems, Houston, TX). An additional 1 WT-sham, 2 KO-VSG and 2 WT-VSG mice died (or were found moribund) during the period of metabolic phenotyping that occurred between weeks 8 and 15. For any given analysis, only mice that are represented throughout the entire timecourse were included. In addition, for the macronutrient preference study, **data** from several individuals were excluded based on pre-established criteria-in this case, that the mice consistently spilled the powdered macronutrient diets on the cage floor making accurate measurement of what was ingested impossible. For the microbiota analyses, one WT-VSG individual was excluded due to a noted investigator error while collecting the cecal samples at sacrifice.",0,1,0,
212623008,23/25,1,0.92,"Fig. 1 .
 1Flowchart of study recruitment, treatment allocation, attrition, and available **data** per measurement.",0,1,0,
6375277,1/16,2,0.062,"In eukaryotic systems, inflammation and activation of innate immunity are fundamental host responses to microbial invasion and endogenous danger signals. Blood leukocytes contribute to this inflammatory response, and exposure to a prototypical stimulus such as LPS leads first to changes in gene expression, then production of cytokines which are secreted and cause secondary transcriptional and other responses [15]. In previous work, we and others generated a set of gene expression profiles from human subjects over 24 hours following the intravenous administration of bacterial endotoxin LPS [16]. Experimental endotoxicosis produces in the previously healthy individual a transient but significant systemic inflammatory response, characterized by fever, tachycardia, malaise, and a hepatic acute phase response. Administration of endotoxin is presumed to model the early inflammatory changes associated with a microbial invasion, sepsis and the systemic inflammatory response syndrome [17]. We used this **data** to determine important clusters of genes involved in the early inflammatory response, as well as to depict the temporal changes in gene expression as inflammation resolved over the first twenty-four hours. In this study, we calculated transcription factor activities and regulatory influences in the above **dataset** using NCA, and interpreted the results to develop a dynamic network of transcription events following experimental endotoxicosis in humans.",0,1,0,
229471090,2/2,1,1,"For
 example,Andriollo et al. (2018) used F IS to examine diversity across bat species andWogan et al. (2020) used this same metric to examine subpopulation differentiation in a generalist bird. A methodological clarification to the original manuscript would have appropriately addressed these concerns.Prof. Hedrick cites supplementary materials from a dissertation chapter(Winkler, 2017) to make claims about **data** and analyses in the related article published in Ecology and Evolution at the center of this discussion(Winkler et al., 2019). These claims are unsupported because the **data** mentioned were written in 2017, almost two years beforeWinkler et al. (2019) was accepted for publication in Ecology and Evolution. Methods were revised, **data** were rescrutinized, and supplementary materials were all updated during the peer review process at two journals before being accepted by Ecology and Evolution.",0,1,0,
249682015,9/19,1,0.474,"The **data** were analyzed using GraphPad PRISM, version 8.4.1, GraphPad Software Inc. San Diego, CA, USA, statistical software. Data were expressed as the mean ± standard error of the mean. The **data** generated during the study were analyzed with one-way ANOVA followed by Tukey's post hoc test for inter-group comparisons. P value ≤ 0.05 was considered statistically significant.",0,1,0,
5863243,9/10,1,0.9,"Figure 1 .
 1Consensus oral microbiome profiles of Sprague-Dawley (SD) female rats at the family taxonomic level. The consensus **data** for pre-inoculation baseline, post-P. gingivalis inoculated before breeding, and pregnant (gestation day 18) necropsy were used to generate this family-level comparison (results have not been published elsewhere).",0,1,0,
211566645,6/33,1,0.182,"In this study, face-to-face interviews, document analysis and participant observations were the **data** sources used. The study utilized the snowball sampling technique as a purposeful sampling method in order to obtain in-depth information regarding the phenomenon under investigation. During the research phase, interviews were conducted with a total of 44 domestic and foreign tourists; three of these interviews were conducted over the telephone while one participant preferred to take part by answering the questions via e-mail. The rest were conducted face-to-face. Another participant did not consent to the use of voice recording devices, and so their answers were recorded in writing only.",0,1,0,
243822900,1/24,1,0.042,"When it comes to the use of RBCs in carious lesion, current literature does not provide **data** about the type of RBCs that should be used in leukemia patients. Therefore, the aim of our research was to analyze, in vitro, the degradation process of resin-based composites by determining the sorption and solubility properties and evaluating the amount of residual monomer in saliva of leukemia patients before starting chemotherapy regiments. This approach reflects the properties of dental composite, as well as certain aspects of the potential side-effects caused by the patient's pathology. Additionally, the subject addressed has a practical connotation, since dental practitioners should be constantly informed and aware about the properties of dental materials and should personalize the selection of restoration materials in accordance with the complexity of each clinical case [9].",0,1,0,
2924940,30/30,1,1,"Table 2 (Continued)
 2Protein **data** for the 54 protein isoforms identified in this studyhttp://genomebiology.com/2008/9/12/R177 Genome Biology 2008, Volume 9, Issue 12, Article R177 Foth et al.R177.9 Genome Biology 2008, 9:R177",0,0,1,data for the 
14906325,9/21,1,0.429,"Contractile responses to angiotensin II. Ang II induced a concentration-dependent contraction at lower concentrations (10 212 to 10 28 mol/L, Figure 1B) and dilatation at higher concentrations (3?10 28 to 3?10 26 mol/L, **data** not shown). These responses occurred in both male and female arteries after organ culture, but the male arteries were more sensitive to Ang II resulting in concentration-response curves that were significantly different (P,0.05, Figure 1B). pEC 50 for Ang II-mediated contraction was higher for males compared to females, as shown by a concentration-response curve further to the left for males (P = 0.09, Figure 1B, Table 1). The maximum contraction to Ang II was not different between male and female arteries.",0,1,0,
251744955,16/24,1,0.667,"The **data** will be entered into an e-CRF (electronic Case Report Form) specifically developed for this study using a Clinical Data Management System (CMDS-CleanWeb). All required information for the study will be entered as and when it is obtained. Thanks to automatic checks, in case of missing or inconsistent data, request for correction will be sent to participating centers via the CMDS. If corrections are necessary, they will be made directly using the CMDS. At the end of the study, a blind review of **data** will be performed and in case of additional queries, it should be resolved before the final database lock.",0,1,0,
10465400,56/65,2,0.862,Fully annotated microarray **data** has been deposited in ArrayExpress (E-MTAB-162).,0,0,1,data has been deposited in
225131301,12/33,1,0.364,"In order to determine the visitors' understanding conditions of exhibit and the scientific knowledge included in the exhibit, ""Did you understand what was explained in the exhibit?"" was asked. Those who responded as ""We understood"", afterwards the question ""What is aimed to be explained in this exhibit?"" was asked. The findings are presented in Table 5: *Descriptions of the codings are given in the **data** analysis section.",0,1,0,
18075776,5/15,1,0.333,"These two **data** sources-the proverbs and the surveyprovide us with complementary views about the lives of Ghanaian women. On the one hand, the proverbs illuminate what traditional Ghanaian society considered normal (If a woman buys a sheep, it is a man who rears it; # 95), aspirational (A woman who can produce 10 children eats the tenth child's sheep; # 6675), and taboo (A woman sells garden eggs, but she doesn't sell gunpowder; # 96) manifestations of womanhood and femininity. Such values have survived transmission across generations. In contrast, the Everyday Lives Survey provides a cross-sectional glimpse into the lives of women in contemporary Ghana. Taken together therefore, these two **data** sources provide information about both long term and short term social change. Admittedly, a short coming of the proverb-inferred information is the unavailability of information on the extent to which these values were attained. Hence, while we can be certain that those values were at least aspirational in nature, there is no evidence permitting us to estimate the extent to which such values were in fact attained within traditional settings in Ghana's past. Additionally, proverbs are historically imprecise cultural artifacts since it is impossible to situate them in an exact period in history. Nevertheless, the proverbs provide us with a rough baseline from which to begin to estimate and understand the potential reach of social change. Due to the inherent limitations of cross-sectional research designs, we relate the survey findings where possible to other relevant research on Ghanaian women.",0,1,0,
245474094,14/22,1,0.636,All **data** are contained within the manuscript.,1,0,0,All data are contained within the manuscript.
8604607,11/30,1,0.367,"Our study will provide a demonstration of the development and conduct of an AHP in the context of benefit-risk analysis that might occur in a committee setting. Using the AHP can aid, support, and enhance the understanding of decision-making processes. Cognitive interviewing will provide detailed qualitative **data** that could be used to improve the validity, clarity, and usability of the instrument.",0,1,0,
250040558,8/55,1,0.145,"Later, in a combined way techniques are used such as brainstorming (BM), importance technique with Likert scale, and GRA method. The purpose is to determine the main causes, i.e., having the maximum weight, the most impact on incompatibility. The GRA method has application for a small number of **data** (that is, even 4 data), where it is a common phenomenon during the analysis of causes of incompatibility [38,39].",0,1,0,
246337567,46/70,1,0.657,"A total of 34 interlinks were created by the participants over the course of a week. These interlinks were all owl:sameAs links from ITMA's TG4 Gradam Ceoil **data** to VIAF (27 interlinks), Library of Congress (LOC) (5 interlinks), the German National Library (DNB) (1 interlink), French National Library (BNF) (1 interlink). It is worthy of note that the participants of the field-test consciously decided to use NAISC-L to specifically create only links of type owl:sameAs as this was a real task that they wished to perform on the TG4 **dataset** that they were not able to complete previously due to a lack of appropriate tooling. Despite using the same link-type throughout, participants nevertheless gained a full experience of the interlinking process.",0,1,0,
230508319,5/17,2,0.294,"In line with the restriction against commercial use, Springer Nature does not permit the creation of a product or service that creates revenue, royalties, rent or income from our content or its inclusion as part of a paid for service or for other commercial gain. Springer Nature journal content cannot be used for inter-library loans and librarians may not upload Springer Nature journal content on a large scale into their, or any other, institutional repository. These terms of use are reviewed regularly and may be amended at any time. Springer Nature is not obligated to publish any information or content on this website and may remove it or features or functionality at our sole discretion, at any time with or without notice. Springer Nature may revoke this licence to you at any time and remove access to any copies of the Springer Nature journal content which have been saved. To the fullest extent permitted by law, Springer Nature makes no warranties, representations or guarantees to Users, either express or implied with respect to the Springer nature journal content and all parties disclaim and waive any implied warranties or warranties imposed by law, including merchantability or fitness for any particular purpose. Please note that these rights do not automatically extend to content, **data** or other material published by Springer Nature that may be licensed from third parties. If you would like to use or distribute our Springer Nature journal content to a wider audience or on a regular basis or in any other manner not expressly permitted by these Terms, please contact Springer Nature at onlineservice@springernature.com",0,1,0,
219480444,4/14,1,0.286,"Using the survey **data** of 315 respondents chosen randomly in many cities and regencies in North Sulawesi province, the findings suggest that not everyone has the same access to benefit programs as many of them never experience some of the programs. The findings also indicate that BPJS health insurance holders tend to have less good lives as compared to non-BPJS health insurance holders. Those who have BPJS health insurance may come from a poor community whose lives are no better than a rich community. Although the rich community is also a member of BPJS health insurance, since the launch of BPJS health insurance in 2014, the local government has encouraged the poor community to have BPJS health insurance. This encouragement increases the chunk of the poor community in the BPJS health insurance program; therefore, those who have BPJS health insurance have a less good life. Meanwhile, being the holder does not statistically affect the ability to meet daily needs. On the other hand, spending on electricity reduces the ability to meet daily needs but not necessarily make lives better or worse.",0,1,0,
1520137,4/35,1,0.114,"We found that ( Figure 3) compared to the yes rates under no context, the mean yes rates averaged over six observers are higher under low contextual contrast C c 0.05 and lower under higher contextual contrast C c ¼ 0.4, for any target contrast C t . We define a contextual facilitation index (CFI) as the average increase in the yes rate in a particular context (relative to no context), specifically CFI [ Mean Ct ½PðyesjC t ; a given contextÞ À PðyesjC t ; without contextÞ; Figure 2A The **data** points are the mean over six observers, and the error bars indicate the standard errors of the means (SEMs). On average and relative to the no-context condition, the weaker colinear contexts C c ¼ 0.01 and C c ¼ 0.05 raised the yes rates by CFI ¼ 38% 6 8% and 15% 6 8%, respectively, whereas the stronger context C c ¼ 0.4 lowered it by ÀCFI ¼ 17% 6 8%. The colored curves are Bayesian fits to **data** of the corresponding color, no fit is done for **data** without context. The root mean square normalized fitting error RMSNFE ¼ 0.66 in the unit of SEM. The fitted parameters (and their 95% confidential intervals) are k ¼ 1.9 (0.6, 3.2), r n ¼ 0.0025 (0.0020, 0.0029), and P(yes) ¼ 0. where Mean Ct ðxÞ [½ P Ct x=½ P Ct 1 stands for the average of x over C t . The weakest context C c ¼ 0.01 raises the yes rate by CFI ¼ 0.38 6 0.08, and the intermediate context C c ¼ 0.05 by CFI ¼ 0.15 6 0.08. In contrast, the strongest context C c ¼ 0.4 lowers the yes rate by jCFIj ¼ 0.17 6 0.08. Averaged over C t , the observers were more than twice as likely to perceive a target in the weakest than in the strongest context.",0,1,0,
